Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"ASIX","ADVANSIX INC","Aktien","0,08","28,95","39.388","1.140.283","1.140.282,60","Materialien","US00773T1016","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CHUY","CHUYS HOLDINGS INC","Aktien","0,08","43,23","26.187","1.132.195","1.132.194,95","Zyklische Konsumgüter ","US1716041017","NASDAQ","Vereinigte Staaten","USD"
"SCSC","SCANSOURCE INC","Aktien","0,08","32,63","34.659","1.130.923","1.130.923,17","IT","US8060371072","NASDAQ","Vereinigte Staaten","USD"
"ECHO","ECHO GLOBAL LOGISTICS INC","Aktien","0,08","32,46","34.631","1.124.122","1.124.122,26","Industrie","US27875T1016","NASDAQ","Vereinigte Staaten","USD"
"SMP","STANDARD MOTOR PRODUCTS INC","Aktien","0,08","44,02","25.339","1.115.423","1.115.422,78","Zyklische Konsumgüter ","US8536661056","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HLIT","HARMONIC INC","Aktien","0,08","8,45","131.831","1.113.972","1.113.971,95","IT","US4131601027","NASDAQ","Vereinigte Staaten","USD"
"UEIC","UNIVERSAL ELECTRONICS INC","Aktien","0,08","64,23","17.330","1.113.106","1.113.105,90","Zyklische Konsumgüter ","US9134831034","NASDAQ","Vereinigte Staaten","USD"
"COLL","COLLEGIUM PHARMACEUTICAL INC","Aktien","0,08","24,72","44.886","1.109.582","1.109.581,92","Gesundheitsversorgung","US19459J1043","NASDAQ","Vereinigte Staaten","USD"
"RUTH","RUTHS HOSPITALITY GROUP INC","Aktien","0,08","25,79","42.960","1.107.938","1.107.938,40","Zyklische Konsumgüter ","US7833321091","NASDAQ","Vereinigte Staaten","USD"
"GLT","GLATFELTER CORP","Aktien","0,08","18,30","59.943","1.096.957","1.096.956,90","Materialien","US3773201062","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DFIN","DONNELLEY FINANCIAL SOLUTIONS INC","Aktien","0,08","29,11","37.662","1.096.341","1.096.340,82","Financials","US25787G1004","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AHH","ARMADA HOFFLER PROPERTIES REIT INC","Aktien","0,08","13,82","78.966","1.091.310","1.091.310,12","Immobilien","US04208T1088","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ABTX","ALLEGIANCE BANCSHARES INC","Aktien","0,08","41,50","26.022","1.079.913","1.079.913,00","Financials","US01748H1077","NASDAQ","Vereinigte Staaten","USD"
"NBR","NABORS INDUSTRIES LTD","Aktien","0,08","129,39","8.342","1.079.371","1.079.371,38","Energie","BMG6359F1370","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"RMAX","RE MAX HOLDINGS INC CLASS A","Aktien","0,08","42,12","25.571","1.077.051","1.077.050,52","Immobilien","US75524W1080","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DBI","DESIGNER BRANDS INC CLASS A","Aktien","0,08","14,41","74.614","1.075.188","1.075.187,74","Zyklische Konsumgüter ","US2505651081","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BCOR","BLUCORA INC","Aktien","0,08","17,41","61.352","1.068.138","1.068.138,32","Financials","US0952291005","NASDAQ","Vereinigte Staaten","USD"
"AEGN","AEGION CORP CLASS A","Aktien","0,08","25,92","41.121","1.065.856","1.065.856,32","Industrie","US00770F1049","NASDAQ","Vereinigte Staaten","USD"
"AMBC","AMBAC FINANCIAL GROUP INC","Aktien","0,08","17,83","59.473","1.060.404","1.060.403,59","Financials","US0231398845","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TBI","TRUEBLUE INC","Aktien","0,08","22,23","47.577","1.057.637","1.057.636,71","Industrie","US89785X1019","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LMAT","LEMAITRE VASCULAR INC","Aktien","0,08","47,44","22.268","1.056.394","1.056.393,92","Gesundheitsversorgung","US5255582018","NASDAQ","Vereinigte Staaten","USD"
"AAN","AARONS COMPANY INC","Aktien","0,08","24,40","43.118","1.052.079","1.052.079,20","Zyklische Konsumgüter ","US00258W1080","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PLAB","PHOTRONICS INC","Aktien","0,07","12,04","87.213","1.050.045","1.050.044,52","IT","US7194051022","NASDAQ","Vereinigte Staaten","USD"
"JBSS","JOHN B SANFILIPPO AND SON INC","Aktien","0,07","90,84","11.476","1.042.480","1.042.479,84","Nichtzyklische Konsumgüter","US8004221078","NASDAQ","Vereinigte Staaten","USD"
"PARR","PAR PACIFIC HOLDINGS INC","Aktien","0,07","19,74","52.610","1.038.521","1.038.521,40","Energie","US69888T2078","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CKH","SEACOR HOLDINGS INC","Aktien","0,07","41,25","25.109","1.035.746","1.035.746,25","Industrie","US8119041015","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TILE","INTERFACE INC","Aktien","0,07","13,63","75.918","1.034.762","1.034.762,34","Industrie","US4586653044","NASDAQ","Vereinigte Staaten","USD"
"KOP","KOPPERS HOLDINGS INC","Aktien","0,07","36,58","28.096","1.027.752","1.027.751,68","Materialien","US50060P1066","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ARR","ARMOUR RESIDENTIAL REIT INC","Aktien","0,07","12,20","82.650","1.008.330","1.008.330,00","Financials","US0423155078","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GCI","GANNETT CO INC","Aktien","0,07","5,74","174.121","999.455","999.454,54","Kommunikation","US36472T1097","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"OSUR","ORASURE TECHNOLOGIES INC","Aktien","0,07","10,93","90.810","992.553","992.553,30","Gesundheitsversorgung","US68554V1089","NASDAQ","Vereinigte Staaten","USD"
"CIR","CIRCOR INTERNATIONAL INC","Aktien","0,07","38,36","25.865","992.181","992.181,40","Industrie","US17273K1097","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SPTN","SPARTANNASH","Aktien","0,07","22,20","44.593","989.965","989.964,60","Nichtzyklische Konsumgüter","US8472151005","NASDAQ","Vereinigte Staaten","USD"
"INVA","INNOVIVA INC","Aktien","0,07","11,85","83.057","984.225","984.225,45","Gesundheitsversorgung","US45781M1018","NASDAQ","Vereinigte Staaten","USD"
"LL","LUMBER LIQUIDATORS HOLDINGS INC","Aktien","0,07","26,08","37.680","982.694","982.694,40","Zyklische Konsumgüter ","US55003T1079","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HSII","HEIDRICK AND STRUGGLES INTERNATION","Aktien","0,07","38,32","25.614","981.528","981.528,48","Industrie","US4228191023","NASDAQ","Vereinigte Staaten","USD"
"CMTL","COMTECH TELECOMMUNICATIONS CORP","Aktien","0,07","30,01","32.618","978.866","978.866,18","IT","US2058262096","NASDAQ","Vereinigte Staaten","USD"
"UFCS","UNITED FIRE GROUP INC","Aktien","0,07","35,02","27.945","978.634","978.633,90","Financials","US9103401082","NASDAQ","Vereinigte Staaten","USD"
"SRDX","SURMODICS INC","Aktien","0,07","55,72","17.539","977.273","977.273,08","Gesundheitsversorgung","US8688731004","NASDAQ","Vereinigte Staaten","USD"
"MYE","MYERS INDUSTRIES INC","Aktien","0,07","20,14","48.037","967.465","967.465,18","Materialien","US6284641098","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AMPH","AMPHASTAR PHARMACEUTICALS INC","Aktien","0,07","19,04","50.754","966.356","966.356,16","Gesundheitsversorgung","US03209R1032","NASDAQ","Vereinigte Staaten","USD"
"IIIN","INSTEEL INDUSTRIES INC","Aktien","0,07","37,66","25.658","966.280","966.280,28","Industrie","US45774W1080","NASDAQ","Vereinigte Staaten","USD"
"TRST","TRUSTCO BANK CORP","Aktien","0,07","7,71","125.065","964.251","964.251,15","Financials","US8983491056","NASDAQ","Vereinigte Staaten","USD"
"KELYA","KELLY SERVICES INC CLASS A","Aktien","0,07","21,62","44.306","957.896","957.895,72","Industrie","US4881522084","NASDAQ","Vereinigte Staaten","USD"
"CLDT","CHATHAM LODGING TRUST REIT","Aktien","0,07","14,28","66.813","954.090","954.089,64","Immobilien","US16208T1025","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"EBIX","EBIX INC","Aktien","0,07","30,93","30.801","952.675","952.674,93","IT","US2787152063","NASDAQ","Vereinigte Staaten","USD"
"CPS","COOPER STANDARD HOLDINGS INC","Aktien","0,07","43,30","21.970","951.301","951.301,00","Zyklische Konsumgüter ","US21676P1030","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NFBK","NORTHFIELD BANCORP INC","Aktien","0,07","15,75","59.971","944.543","944.543,25","Financials","US66611T1088","NASDAQ","Vereinigte Staaten","USD"
"PETS","PETMED EXPRESS INC","Aktien","0,07","35,76","26.393","943.814","943.813,68","Zyklische Konsumgüter ","US7163821066","NASDAQ","Vereinigte Staaten","USD"
"HWKN","HAWKINS INC","Aktien","0,07","37,58","24.814","932.510","932.510,12","Materialien","US4202611095","NASDAQ","Vereinigte Staaten","USD"
"RYAM","RAYONIER ADVANCED MATERIALS INC","Aktien","0,07","10,65","87.490","931.769","931.768,50","Materialien","US75508B1044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FOSL","FOSSIL GROUP INC","Aktien","0,07","15,11","61.478","928.933","928.932,58","Zyklische Konsumgüter ","US34988V1061","NASDAQ","Vereinigte Staaten","USD"
"GCO","GENESCO INC","Aktien","0,07","49,91","18.559","926.280","926.279,69","Zyklische Konsumgüter ","US3715321028","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CLW","CLEARWATER PAPER CORP","Aktien","0,07","40,48","22.843","924.685","924.684,64","Materialien","US18538R1032","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LDL","LYDALL INC","Aktien","0,07","39,98","23.104","923.698","923.697,92","Industrie","US5508191062","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BCEI","BONANZA CREEK ENERGY INC","Aktien","0,07","36,48","25.090","915.283","915.283,20","Energie","US0977934001","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SGH","SMART GLOBAL HOLDINGS INC","Aktien","0,06","46,81","19.320","904.369","904.369,20","IT","KYG8232Y1017","NASDAQ","Vereinigte Staaten","USD"
"VTOL","BRISTOW GROUP INC","Aktien","0,06","29,06","30.809","895.310","895.309,54","Energie","US11040G1031","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"IVR","INVESCO MORTGAGE CAPITAL REIT INC","Aktien","0,06","3,76","232.921","875.783","875.782,96","Financials","US46131B1008","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CAL","CALERES INC","Aktien","0,06","18,11","47.343","857.382","857.381,73","Zyklische Konsumgüter ","US1295001044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ETH","ETHAN ALLEN INC","Aktien","0,06","27,97","30.594","855.714","855.714,18","Zyklische Konsumgüter ","US2976021046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WETF","WISDOMTREE INVESTMENTS INC","Aktien","0,06","6,05","140.912","852.518","852.517,60","Financials","US97717P1049","NASDAQ","Vereinigte Staaten","USD"
"FSP","FRANKLIN STREET PROPERTIES REIT CO","Aktien","0,06","6,37","133.309","849.178","849.178,33","Immobilien","US35471R1068","Nyse Mkt Llc","Vereinigte Staaten","USD"
"ARLO","ARLO TECHNOLOGIES INC","Aktien","0,06","8,05","104.903","844.469","844.469,15","IT","US04206A1016","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SXC","SUNCOKE ENERGY INC","Aktien","0,06","7,40","112.919","835.601","835.600,60","Materialien","US86722A1034","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MERC","MERCER INTERNATIONAL INC","Aktien","0,06","15,90","52.225","830.378","830.377,50","Materialien","US5880561015","NASDAQ","Vereinigte Staaten","USD"
"REX","REX AMERICAN RESOURCES CORP","Aktien","0,06","114,50","7.180","822.110","822.110,00","Energie","US7616241052","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"RRGB","RED ROBIN GOURMET BURGERS INC","Aktien","0,06","37,18","22.080","820.934","820.934,40","Zyklische Konsumgüter ","US75689M1018","NASDAQ","Vereinigte Staaten","USD"
"GPMT","GRANITE POINT MORTGAGE TRUST INC","Aktien","0,06","12,04","67.839","816.782","816.781,56","Financials","US38741L1070","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CUTR","CUTERA INC","Aktien","0,06","32,65","24.758","808.349","808.348,70","Gesundheitsversorgung","US2321091082","NASDAQ","Vereinigte Staaten","USD"
"HSTM","HEALTHSTREAM INC","Aktien","0,06","24,08","33.406","804.416","804.416,48","Gesundheitsversorgung","US42222N1037","NASDAQ","Vereinigte Staaten","USD"
"HAFC","HANMI FINANCIAL CORP","Aktien","0,06","21,02","38.142","801.745","801.744,84","Financials","US4104952043","NASDAQ","Vereinigte Staaten","USD"
"ATNI","ATN INTERNATIONAL INC","Aktien","0,06","52,11","15.269","795.668","795.667,59","Kommunikation","US00215F1075","NASDAQ","Vereinigte Staaten","USD"
"KREF","KKR REAL ESTATE FINANCE INC TRUST","Aktien","0,06","19,14","40.945","783.687","783.687,30","Financials","US48251K1007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WRLD","WORLD ACCEPTANCE CORP","Aktien","0,05","148,70","5.178","769.969","769.968,60","Financials","US9814191048","NASDAQ","Vereinigte Staaten","USD"
"RC","READY CAPITAL CORP","Aktien","0,05","14,30","53.031","758.343","758.343,30","Financials","US75574U1016","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"UBA","URSTADT BIDDLE PROPERTIES REIT INC","Aktien","0,05","17,50","43.163","755.353","755.352,50","Immobilien","US9172862057","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HVT","HAVERTY FURNITURE COMPANIES INC","Aktien","0,05","36,37","20.508","745.876","745.875,96","Zyklische Konsumgüter ","US4195961010","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CMO","CAPSTEAD MORTGAGE REIT CORP","Aktien","0,05","6,34","117.566","745.368","745.368,44","Financials","US14067E5069","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AVD","AMER VANGUARD CORP","Aktien","0,05","21,98","33.733","741.451","741.451,34","Materialien","US0303711081","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DXPE","DXP ENTERPRISES INC","Aktien","0,05","34,38","21.552","740.958","740.957,76","Industrie","US2333774071","NASDAQ","Vereinigte Staaten","USD"
"VRTV","VERITIV CORP","Aktien","0,05","44,47","16.610","738.647","738.646,70","Industrie","US9234541020","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SPPI","SPECTRUM PHARMACEUTICALS INC","Aktien","0,05","3,91","188.521","737.117","737.117,11","Gesundheitsversorgung","US84763A1088","NASDAQ","Vereinigte Staaten","USD"
"DGII","DIGI INTERNATIONAL INC","Aktien","0,05","19,88","36.812","731.823","731.822,56","IT","US2537981027","NASDAQ","Vereinigte Staaten","USD"
"OIS","OIL STATES INTERNATIONAL INC","Aktien","0,05","9,18","79.410","728.984","728.983,80","Energie","US6780261052","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"EGRX","EAGLE PHARMACEUTICALS INC","Aktien","0,05","45,46","15.884","722.087","722.086,64","Gesundheitsversorgung","US2697961082","NASDAQ","Vereinigte Staaten","USD"
"BFS","SAUL CENTERS REIT INC","Aktien","0,05","42,00","17.123","719.166","719.166,00","Immobilien","US8043951016","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CNXN","PC CONNECTION INC","Aktien","0,05","47,78","14.958","714.693","714.693,24","IT","US69318J1007","NASDAQ","Vereinigte Staaten","USD"
"MCS","THE MARCUS CORP","Aktien","0,05","22,80","30.926","705.113","705.112,80","Kommunikation","US5663301068","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HCI","HCI GROUP INC","Aktien","0,05","73,75","9.551","704.386","704.386,25","Financials","US40416E1038","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LQDT","LIQUIDITY SERVICES INC","Aktien","0,05","19,14","35.961","688.294","688.293,54","Zyklische Konsumgüter ","US53635B1070","NASDAQ","Vereinigte Staaten","USD"
"CNSL","CONSOLIDATED COMMUNICATIONS HOLDIN","Aktien","0,05","7,08","97.157","687.386","687.385,78","Kommunikation","US2090341072","NASDAQ","Vereinigte Staaten","USD"
"NPK","NATIONAL PRESTO INDUSTRIES INC","Aktien","0,05","103,78","6.617","686.712","686.712,26","Industrie","US6372151042","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LPG","DORIAN LPG LTD","Aktien","0,05","13,80","49.462","682.576","682.575,60","Energie","MHY2106R1100","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PDFS","PDF SOLUTIONS INC","Aktien","0,05","18,26","36.276","662.400","662.399,76","IT","US6932821050","NASDAQ","Vereinigte Staaten","USD"
"TMST","TIMKENSTEEL CORP","Aktien","0,05","11,73","56.063","657.619","657.618,99","Materialien","US8873991033","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ANIK","ANIKA THERAPEUTICS INC","Aktien","0,05","36,46","18.021","657.046","657.045,66","Gesundheitsversorgung","US0352551081","NASDAQ","Vereinigte Staaten","USD"
"APEI","AMERICAN PUBLIC EDUCATION INC","Aktien","0,05","31,89","20.580","656.296","656.296,20","Zyklische Konsumgüter ","US02913V1035","NASDAQ","Vereinigte Staaten","USD"
"HT","HERSHA HOSPITALITY REIT TRUST CLAS","Aktien","0,05","11,67","56.149","655.259","655.258,83","Immobilien","US4278255009","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CCRN","CROSS COUNTRY HEALTHCARE INC","Aktien","0,05","13,33","48.149","641.826","641.826,17","Gesundheitsversorgung","US2274831047","NASDAQ","Vereinigte Staaten","USD"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Aktien","0,05","16,14","39.760","641.726","641.726,40","Financials","US91359V1070","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FORR","FORRESTER RESEARCH INC","Aktien","0,05","44,81","14.131","633.210","633.210,11","Industrie","US3465631097","NASDAQ","Vereinigte Staaten","USD"
"SCVL","SHOE CARNIVAL INC","Aktien","0,05","54,59","11.578","632.043","632.043,02","Zyklische Konsumgüter ","US8248891090","NASDAQ","Vereinigte Staaten","USD"
"PAHC","PHIBRO ANIMAL HEALTH CORP CLASS A","Aktien","0,04","24,19","26.016","629.327","629.327,04","Gesundheitsversorgung","US71742Q1067","NASDAQ","Vereinigte Staaten","USD"
"WSR","WHITESTONE REIT","Aktien","0,04","10,20","59.872","610.694","610.694,40","Immobilien","US9660842041","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CENT","CENTRAL GARDEN AND PET","Aktien","0,04","52,34","11.591","606.673","606.672,94","Nichtzyklische Konsumgüter","US1535271068","NASDAQ","Vereinigte Staaten","USD"
"MPAA","MOTORCAR PARTS OF AMERICA INC","Aktien","0,04","24,44","24.199","591.424","591.423,56","Zyklische Konsumgüter ","US6200711009","NASDAQ","Vereinigte Staaten","USD"
"TG","TREDEGAR CORP","Aktien","0,04","18,11","32.563","589.716","589.715,93","Materialien","US8946501009","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MTRX","MATRIX SERVICE","Aktien","0,04","15,75","37.091","584.183","584.183,25","Industrie","US5768531056","NASDAQ","Vereinigte Staaten","USD"
"UFI","UNIFI INC","Aktien","0,04","30,19","19.081","576.055","576.055,39","Zyklische Konsumgüter ","US9046772003","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MOV","MOVADO GROUP INC","Aktien","0,04","25,24","22.429","566.108","566.107,96","Zyklische Konsumgüter ","US6245801062","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CPSI","COMPUTER PROGRAMS AND SYSTEMS INC","Aktien","0,04","32,90","17.190","565.551","565.551,00","Gesundheitsversorgung","US2053061030","NASDAQ","Vereinigte Staaten","USD"
"RES","RPC INC","Aktien","0,04","6,66","84.606","563.476","563.475,96","Energie","US7496601060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FF","FUTUREFUEL CORP","Aktien","0,04","15,91","35.359","562.562","562.561,69","Materialien","US36116M1062","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"RGP","RESOURCES CONNECTION INC","Aktien","0,04","14,28","39.085","558.134","558.133,80","Industrie","US76122Q1058","NASDAQ","Vereinigte Staaten","USD"
"CHS","CHICOS FAS INC","Aktien","0,04","3,52","156.680","551.514","551.513,60","Zyklische Konsumgüter ","US1686151028","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SENEA","SENECA FOODS CORP CLASS A","Aktien","0,04","57,61","9.446","544.184","544.184,06","Nichtzyklische Konsumgüter","US8170705011","NASDAQ","Vereinigte Staaten","USD"
"HAYN","HAYNES INTERNATIONAL INC","Aktien","0,04","32,60","16.524","538.682","538.682,40","Materialien","US4208772016","NASDAQ","Vereinigte Staaten","USD"
"CAMP","CALAMP CORP","Aktien","0,04","12,09","44.440","537.280","537.279,60","IT","US1281261099","NASDAQ","Vereinigte Staaten","USD"
"TWI","TITAN INTERNATIONAL INC","Aktien","0,04","8,58","62.479","536.070","536.069,82","Industrie","US88830M1027","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LPI","LAREDO PETROLEUM INC","Aktien","0,04","40,64","12.615","512.674","512.673,60","Energie","US5168062058","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LOCO","EL POLLO LOCO INC","Aktien","0,04","19,60","25.106","492.078","492.077,60","Zyklische Konsumgüter ","US2686031079","NASDAQ","Vereinigte Staaten","USD"
"TISI","TEAM INC","Aktien","0,03","12,00","39.550","474.600","474.600,00","Industrie","US8781551002","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ZYXI","ZYNEX INC","Aktien","0,03","16,98","26.690","453.196","453.196,20","Gesundheitsversorgung","US98986M1036","NASDAQ","Vereinigte Staaten","USD"
"FRGI","FIESTA RESTAURANT GROUP INC","Aktien","0,03","17,43","25.863","450.792","450.792,09","Zyklische Konsumgüter ","US31660B1017","NASDAQ","Vereinigte Staaten","USD"
"DSPG","DSP GROUP INC","Aktien","0,03","16,08","26.926","432.970","432.970,08","IT","US23332B1061","NASDAQ","Vereinigte Staaten","USD"
"POWL","POWELL INDUSTRIES INC","Aktien","0,03","35,78","11.927","426.748","426.748,06","Industrie","US7391281067","NASDAQ","Vereinigte Staaten","USD"
"CEIX","CONSOL ENERGY INC","Aktien","0,03","11,34","36.712","416.314","416.314,08","Energie","US20854L1089","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"RGS","REGIS CORP","Aktien","0,03","12,87","32.151","413.783","413.783,37","Zyklische Konsumgüter ","US7589321071","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CONN","CONNS INC","Aktien","0,03","16,46","24.875","409.443","409.442,50","Zyklische Konsumgüter ","US2082421072","NASDAQ","Vereinigte Staaten","USD"
"ANIP","ANI PHARMACEUTICALS INC","Aktien","0,03","31,86","12.149","387.067","387.067,14","Gesundheitsversorgung","US00182C1036","NASDAQ","Vereinigte Staaten","USD"
"CATO","CATO CORP CLASS A","Aktien","0,03","13,16","29.067","382.522","382.521,72","Zyklische Konsumgüter ","US1492051065","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PKE","PARK AEROSPACE CORP","Aktien","0,03","15,32","24.649","377.623","377.622,68","Industrie","US70014A1043","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"EZPW","EZCORP NON VOTING INC CLASS A","Aktien","0,03","5,41","67.575","365.581","365.580,75","Financials","US3023011063","NASDAQ","Vereinigte Staaten","USD"
"DAKT","DAKTRONICS INC","Aktien","0,03","6,79","53.502","363.279","363.278,58","IT","US2342641097","NASDAQ","Vereinigte Staaten","USD"
"IVC","INVACARE CORP","Aktien","0,03","8,29","43.064","357.001","357.000,56","Gesundheitsversorgung","US4612031017","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TALO","TALOS ENERGY INC","Aktien","0,03","13,23","26.669","352.831","352.830,87","Energie","US87484T1088","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BNED","BARNES AND NOBLE EDUCATION INC","Aktien","0,02","8,96","36.874","330.391","330.391,04","Zyklische Konsumgüter ","US06777U1016","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PVAC","PENN VA CORP","Aktien","0,02","17,89","18.428","329.677","329.676,92","Energie","US70788V1026","NASDAQ","Vereinigte Staaten","USD"
"GHL","GREENHILL INC","Aktien","0,02","17,97","17.845","320.675","320.674,65","Financials","US3952591044","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"VRA","VERA BRADLEY INC","Aktien","0,02","11,10","28.597","317.427","317.426,70","Zyklische Konsumgüter ","US92335C1062","NASDAQ","Vereinigte Staaten","USD"
"ZEUS","OLYMPIC STEEL INC","Aktien","0,02","28,75","10.531","302.766","302.766,25","Materialien","US68162K1060","NASDAQ","Vereinigte Staaten","USD"
"LCI","LANNETT COMPANY INC","Aktien","0,02","6,96","41.950","291.972","291.972,00","Gesundheitsversorgung","US5160121019","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SPOK","SPOK HOLDINGS INC","Aktien","0,02","11,61","25.109","291.515","291.515,49","Kommunikation","US84863T1060","NASDAQ","Vereinigte Staaten","USD"
"BELFB","BEL FUSE INC CLASS B","Aktien","0,02","22,11","11.554","255.459","255.458,94","IT","US0773473006","NASDAQ","Vereinigte Staaten","USD"
"AAOI","APPLIED OPTOELECTRONICS INC","Aktien","0,02","8,85","24.755","219.082","219.081,75","IT","US03823U1025","NASDAQ","Vereinigte Staaten","USD"
"UIHC","UNITED INSURANCE HOLDINGS CORP","Aktien","0,01","7,80","24.340","189.852","189.852,00","Financials","US9107101027","NASDAQ","Vereinigte Staaten","USD"
"GBP","GBP CASH","Geldmarkt","0,01","139,69","130.220","181.904","181.904,28","Cash und/oder Derivate","-","-","Vereinigtes Königreich","GBP"
"EXTN","EXTERRAN CORP","Aktien","0,01","4,63","38.704","179.200","179.199,52","Energie","US30227H1068","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"-","BM TECHNOLOGIES CONTRA","Aktien","0,01","10,70","7.192","76.962","76.961,59","IT","US232CNT0145","Nyse Mkt Llc","Vereinigte Staaten","USD"
"BZFUT","CASH COLLATERAL USD BZFUT","Cash Collateral and Margins","0,00","100,00","66.000","66.000","66.000,00","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
"LAN","LANTHEUS HOLDINGS INC CVR","Aktien","0,00","0,00","86.507","1","0,87","Gesundheitsversorgung","US743CVR0370","NASDAQ","Vereinigte Staaten","USD"
"EUR","EUR CASH","Geldmarkt","0,00","119,60","5","6","5,86","Cash und/oder Derivate","-","-","Europäische Union","EUR"
"RTYH1","RUSSELL 2000 EMINI CME MAR 21","Futures","0,00","2.334,70","36","0","4.202.460,00","Cash und/oder Derivate","-","Chicago Mercantile Exchange","-","USD"
 
