Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"MMSI","MERIT MEDICAL SYSTEMS INC","Aktien","0,27","59,70","64.467","3.848.680","3.848.679,90","Gesundheitsversorgung","US5898891040","NASDAQ","Vereinigte Staaten","USD"
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Aktien","0,27","31,75","121.199","3.848.068","3.848.068,25","Financials","US0256762065","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CTB","COOPER TIRE AND RUBBER","Aktien","0,27","57,83","66.374","3.838.408","3.838.408,42","Zyklische Konsumgüter ","US2168311072","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SKYW","SKYWEST INC","Aktien","0,27","57,69","66.173","3.817.520","3.817.520,37","Industrie","US8308791024","NASDAQ","Vereinigte Staaten","USD"
"SWN","SOUTHWESTERN ENERGY","Aktien","0,27","4,42","862.484","3.812.179","3.812.179,28","Energie","US8454671095","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"IBTX","INDEPENDENT BANK GROUP INC","Aktien","0,27","77,98","48.823","3.807.462","3.807.461,65","Financials","US45384B1061","NASDAQ","Vereinigte Staaten","USD"
"ELY","CALLAWAY GOLF","Aktien","0,27","30,82","123.123","3.794.651","3.794.650,86","Zyklische Konsumgüter ","US1311931042","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"VG","VONAGE HOLDINGS CORP","Aktien","0,27","12,31","308.132","3.793.105","3.793.104,92","Kommunikation","US92886T2015","NASDAQ","Vereinigte Staaten","USD"
"FLOW","SPX FLOW INC","Aktien","0,27","68,48","55.282","3.785.711","3.785.711,36","Industrie","US78469X1072","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MTDR","MATADOR RESOURCES","Aktien","0,27","26,45","142.685","3.774.018","3.774.018,25","Energie","US5764852050","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ESE","ESCO TECHNOLOGIES INC","Aktien","0,27","109,87","34.320","3.770.738","3.770.738,40","Industrie","US2963151046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"RRC","RANGE RESOURCES CORP","Aktien","0,27","11,08","336.221","3.725.329","3.725.328,68","Energie","US75281A1097","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WGO","WINNEBAGO INDUSTRIES INC","Aktien","0,27","83,47","44.580","3.721.093","3.721.092,60","Zyklische Konsumgüter ","US9746371007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SMPL","THE SIMPLY GOOD FOODS COMPANY","Aktien","0,27","33,43","111.252","3.719.154","3.719.154,36","Nichtzyklische Konsumgüter","US82900L1026","NASDAQ","Vereinigte Staaten","USD"
"USD","USD CASH","Geldmarkt","0,27","100,00","3.718.195","3.718.195","3.718.195,02","Cash und/oder Derivate","-","-","Vereinigte Staaten","USD"
